group_type,group_name,num_images,dino_layer,segformer_stage,cka_mean,ssm_mean
overall,all,4006,1,stage1,0.6640908732467214,0.6425396615766729
overall,all,4006,1,stage2,0.5151565156679896,0.5320838301726657
overall,all,4006,1,stage3,0.36788157126120014,0.3781612534238713
overall,all,4006,1,stage4,0.4924540586343674,0.42362762680255145
overall,all,4006,2,stage1,0.6911337099712727,0.6347394857743474
overall,all,4006,2,stage2,0.547919140500958,0.526946512639106
overall,all,4006,2,stage3,0.3772429877699642,0.3792941612937765
overall,all,4006,2,stage4,0.49252960294823583,0.4330657885569839
overall,all,4006,3,stage1,0.7087488598931866,0.6777113495442014
overall,all,4006,3,stage2,0.5660926255430511,0.5748738729345221
overall,all,4006,3,stage3,0.3884884527234869,0.41888943538292905
overall,all,4006,3,stage4,0.5036627727909887,0.46539691090392005
overall,all,4006,4,stage1,0.7237210283488318,0.7236395363383928
overall,all,4006,4,stage2,0.5814637106118414,0.6291331378701206
overall,all,4006,4,stage3,0.39714371259368425,0.45372518003024104
overall,all,4006,4,stage4,0.5104601235406523,0.48471831056604153
overall,all,4006,5,stage1,0.7638278692231676,0.7757374529637995
overall,all,4006,5,stage2,0.6306974300207999,0.6969336716237808
overall,all,4006,5,stage3,0.4235987871200873,0.5096142731878499
overall,all,4006,5,stage4,0.524887547519986,0.5202927862227064
overall,all,4006,6,stage1,0.7800211888578494,0.7990372014593257
overall,all,4006,6,stage2,0.6472729061299185,0.7213005091822035
overall,all,4006,6,stage3,0.42921740618635285,0.5084169712280311
overall,all,4006,6,stage4,0.5255848260403899,0.504865212583588
overall,all,4006,7,stage1,0.7382169371983199,0.7671369997578982
overall,all,4006,7,stage2,0.6443645598974099,0.7216772310551083
overall,all,4006,7,stage3,0.4311573432532478,0.5314086372264314
overall,all,4006,7,stage4,0.509078871456909,0.5109008138248892
overall,all,4006,8,stage1,0.720890830129132,0.7400636309855471
overall,all,4006,8,stage2,0.6404471044399354,0.7121017222784188
overall,all,4006,8,stage3,0.49462376744730496,0.5874633404370017
overall,all,4006,8,stage4,0.6138307014540678,0.6246308836782806
overall,all,4006,9,stage1,0.687743045817419,0.6993487910500064
overall,all,4006,9,stage2,0.6303837768774418,0.6851390319738279
